"","edge","mean","pattern"
"1",0.610396,0.133452,-6.788438
"2",0.671659,0.091367,-0.778433
"3",0.582386,0.152816,26.879388
"4",0.56846,0.129144,-17.230789
"5",0.624695,0.100848,-3.43366
"6",0.659871,0.092046,-4.982267
"7",0.576959,0.162332,-26.251109
"8",0.642793,0.201749,-23.123251
"9",0.676404,0.142888,-21.773953
"10",0.550447,0.152085,-11.616329
"11",0.589645,0.104652,26.792422
"12",0.629511,0.097057,1.645596
"13",0.565559,0.13721,-17.128232
"14",0.679763,0.143711,12.670334
"15",0.583575,0.143496,15.449902
"16",0.531355,0.161294,-27.007141
"17",0.620599,0.099594,18.18529
"18",0.53561,0.111833,23.296147
"19",0.638221,0.148881,-14.695611
"20",0.604798,0.129705,4.411249
"21",0.637846,0.125971,12.28529
"22",0.660039,0.115161,-2.703751
"23",0.55716,0.132907,25.309217
"24",0.643259,0.159175,-30.7558
"25",0.638151,0.201723,-26.311561
"26",0.503426,0.128156,6.639654
"27",0.470278,0.127771,-1.69654
"28",0.631687,0.197385,-47.97707
"29",0.656982,0.100642,10.547427
"30",0.777594,0.113333,-16.222497
"31",0.694504,0.160952,-9.603655
"32",0.68812,0.112656,-4.560813
"33",0.76503,0.099276,2.252911
"34",0.642747,0.095956,-7.461543
"35",0.593386,0.147635,-36.961909
"36",0.660944,0.093189,-3.54638
"37",0.625426,0.128718,14.17529
"38",0.602492,0.107537,-6.004804
"39",0.62711,0.089413,26.354466
"40",0.636829,0.12998,-15.933303
"41",0.532704,0.120386,-0.050741
"42",0.738141,0.085614,-7.825398
"43",0.542484,0.089211,12.681174
"44",0.459722,0.123518,-2.401315
"45",0.668935,0.075712,-13.257602
"46",0.598131,0.108108,-12.915924
"47",0.785888,0.105439,0.218653
"48",0.563101,0.149835,-0.388327
"49",0.573266,0.124217,23.310954
"50",0.674079,0.10983,-7.364362
"51",0.648436,0.089211,7.200638
"52",0.750408,0.127353,-41.22215
"53",0.781821,0.153609,34.139434
"54",0.585935,0.108984,-4.880961
"55",0.807782,0.144136,12.853149
"56",0.663508,0.106348,8.841543
"57",0.687785,0.100881,8.113853
"58",0.608228,0.129071,-17.233912
"59",0.622811,0.113944,-5.971665
"60",0.85495,0.119757,-13.560124
"61",0.604134,0.094105,-10.382979
"62",0.610667,0.085509,-1.495072
"63",0.657815,0.137768,10.817652
"64",0.669183,0.116837,-12.606616
"65",0.610285,0.150491,-34.159936
"66",0.624337,0.099732,-2.184126
"67",0.642857,0.125356,24.536538
"68",0.74954,0.116953,5.763762
"69",0.669725,0.099033,17.275844
"70",0.57228,0.155088,0.297537
"71",0.619142,0.126689,23.369253
"72",0.853755,0.088741,11.246599
"73",0.755522,0.131317,9.265843
"74",0.58135,0.128818,-30.000668
"75",0.55067,0.119804,-28.087517
"76",0.670511,0.104743,2.735962
"77",0.642226,0.098684,6.313829
"78",0.61882,0.082375,1.241396
"79",0.571013,0.082616,8.347049
"80",0.633662,0.113851,2.418587
"81",0.854053,0.109494,-19.74935
"82",0.636714,0.127597,21.355327
"83",0.647937,0.115261,-16.093543
"84",0.660116,0.090656,-8.173137
"85",0.591131,0.097469,7.451083
"86",0.875977,0.13125,16.39343
"87",0.681278,0.116757,1.518725
"88",0.609427,0.114553,-16.55598
"89",0.567309,0.192704,85.252523
"90",0.722358,0.079579,-0.792861
"91",0.635666,0.093359,-22.445115
"92",0.583044,0.16707,0.622345
"93",0.684974,0.100519,7.297616
"94",0.598793,0.125505,-12.840038
"95",0.815859,0.099738,2.081927
"96",0.616869,0.117051,7.962411
"97",0.657497,0.123199,4.132911
"98",0.646708,0.128042,4.561433
"99",0.628414,0.09148,-6.937498
"100",0.588819,0.123387,19.461619
"101",0.748145,0.089754,-1.500019
"102",0.514473,0.133402,-40.121537
"103",0.649668,0.110558,5.015337
"104",0.578746,0.198835,24.734243
"105",0.556907,0.164359,-37.82806
"106",0.574703,0.117625,45.963363
"107",0.80097,0.140765,14.68267
"108",0.683581,0.108253,-11.912219
"109",0.574584,0.122194,20.621671
"110",0.575312,0.132421,-23.552422
"111",0.594214,0.117357,-1.630557
"112",0.884938,0.114468,9.717161
"113",0.560993,0.10169,-5.464168
"114",0.667149,0.107755,3.2112
"115",0.567548,0.116095,7.308825
"116",0.569001,0.147384,14.433871
"117",0.619732,0.091379,1.860509
"118",0.573741,0.12882,-2.619739
"119",0.636774,0.135216,30.943148
"120",0.591056,0.110187,-4.567421
"121",0.559977,0.123786,-13.616924
"122",0.624567,0.122103,18.29181
"123",0.622138,0.118702,-34.611122
