"","edge","mean","pattern"
"1",0.645304,0.112851,11.330982
"2",0.644368,0.127287,-0.552434
"3",0.625269,0.117067,-5.090954
"4",0.636216,0.120311,-1.510813
"5",0.627099,0.114899,-0.999373
"6",0.674035,0.092636,-0.188958
"7",0.616606,0.128978,-4.865048
"8",0.592725,0.113777,18.686003
"9",0.741521,0.143505,-5.231276
"10",0.797053,0.106473,2.052854
"11",0.64058,0.115589,-2.735557
"12",0.659628,0.133582,-1.604037
"13",0.698381,0.115323,0.376953
"14",0.664103,0.126997,-6.375915
"15",0.684858,0.149878,10.165752
"16",0.605713,0.118199,-3.636258
"17",0.632608,0.117827,-6.744415
"18",0.613567,0.112376,-5.103992
"19",0.640757,0.110447,6.760396
"20",0.655958,0.141432,8.204936
"21",0.642575,0.103495,-1.436752
"22",0.684592,0.141478,6.57607
"23",0.752301,0.08567,-1.091491
"24",0.658915,0.099505,0.768923
"25",0.75692,0.116585,-5.687444
"26",0.499875,0.114225,1.477527
"27",0.733603,0.11018,-0.927859
"28",0.774663,0.153287,-5.32931
"29",0.663616,0.097185,1.159675
"30",0.901994,0.118263,-7.234858
"31",0.752768,0.133925,3.803371
"32",0.80487,0.130716,2.230811
"33",0.754251,0.120396,3.848759
"34",0.75555,0.139805,3.776353
"35",0.617845,0.131414,-7.480058
"36",0.725191,0.116731,5.0761
"37",0.68184,0.129071,3.261643
"38",0.675835,0.120065,1.123136
"39",0.793839,0.141703,-17.133157
"40",0.62375,0.104452,-3.699535
"41",0.591809,0.132566,0.101381
"42",0.577651,0.129768,-0.985065
"43",0.823748,0.103116,-2.993647
"44",0.544919,0.09531,-6.87596
"45",0.692785,0.112439,-0.110199
"46",0.607362,0.121077,1.923842
"47",0.620844,0.094801,-0.786714
"48",0.76714,0.094048,-0.789159
"49",0.599616,0.114209,-0.092173
"50",0.682664,0.094255,3.674945
"51",0.73653,0.108069,-4.190539
"52",0.769477,0.100822,-0.05477
"53",0.577684,0.088962,6.743594
"54",0.599738,0.126129,0.496717
"55",0.59796,0.103271,0.683106
"56",0.770087,0.118175,-1.506251
"57",0.658245,0.129607,-0.898057
"58",0.624375,0.105551,-0.587578
"59",0.663878,0.09703,3.375922
"60",0.657837,0.107618,-0.420934
"61",0.652249,0.112775,-0.555165
"62",0.576223,0.13035,-0.569809
"63",0.723918,0.130334,3.097297
"64",0.675951,0.114695,-3.506404
"65",0.617287,0.084077,0.361668
"66",0.616427,0.081097,1.877891
"67",0.622754,0.108395,-0.645224
"68",0.602904,0.131374,-5.735817
"69",0.726255,0.121033,0.471928
"70",0.645513,0.09806,-1.271038
"71",0.776424,0.088343,0.985589
"72",0.782431,0.125329,1.141143
"73",0.588711,0.106846,0.791945
"74",0.639338,0.126598,2.808207
"75",0.61909,0.115533,-1.727097
"76",0.583493,0.124198,2.410219
"77",0.626678,0.13305,-4.654768
"78",0.605894,0.110161,-2.629067
"79",0.646715,0.104746,-5.856977
"80",0.637931,0.108681,2.317238
"81",0.380794,0.101544,3.495756
"82",0.619649,0.105341,-2.604755
"83",0.647631,0.124525,5.241637
"84",0.605373,0.105599,-1.640684
"85",0.697465,0.106259,-5.339723
"86",0.66032,0.092668,1.906129
"87",0.67907,0.102884,4.671338
"88",0.666008,0.120331,-3.155387
"89",0.556844,0.122415,-3.68953
"90",0.644786,0.129843,4.931525
"91",0.904737,0.120883,-0.050784
"92",0.589765,0.104731,-2.13627
"93",0.627103,0.102758,-4.004217
"94",0.633089,0.107924,0.457673
"95",0.599105,0.107282,0.248138
"96",0.815919,0.097968,-2.061892
"97",0.561044,0.129239,-0.640843
"98",0.601634,0.126556,2.873709
"99",0.763986,0.099393,0.454816
"100",0.597708,0.099744,0.651808
"101",0.591692,0.109067,1.951709
"102",0.562956,0.107032,-3.24648
"103",0.580418,0.119394,5.724874
"104",0.732433,0.125252,1.57532
"105",0.525857,0.126682,-0.282283
"106",0.746796,0.111149,0.020165
"107",0.802449,0.103043,-1.248035
"108",0.571077,0.121472,-1.770177
"109",0.923319,0.109793,1.557781
"110",0.706128,0.109919,-1.659646
"111",0.708974,0.102029,0.101996
"112",0.649066,0.08979,-2.01431
"113",0.617916,0.097342,4.055454
"114",0.595762,0.127745,3.280111
"115",0.658704,0.128462,-4.987129
"116",0.704912,0.111065,2.804743
"117",0.586177,0.14616,-20.401652
"118",0.544689,0.111964,-0.19307
"119",0.715561,0.096416,-1.086825
"120",0.740966,0.111546,0.094444
"121",0.646096,0.137654,3.316163
"122",0.584577,0.114962,5.906391
"123",0.63906,0.1194,3.065151
"124",0.65112,0.127861,0.049387
"125",0.838375,0.120354,-0.356838
"126",0.580805,0.117324,-2.35411
"127",0.674858,0.135087,-0.233425
"128",0.585635,0.142905,-22.128079
"129",0.58662,0.110016,1.367662
"130",0.795926,0.115665,-3.348894
"131",0.726112,0.093311,-2.433737
"132",0.626926,0.116651,-0.984847
"133",0.749635,0.127192,0.213743
"134",0.638243,0.096694,2.364663
"135",0.76139,0.09384,1.253395
"136",0.585426,0.109304,-0.955275
"137",0.776382,0.12999,-3.270332
"138",0.581459,0.099069,-1.762358
"139",0.679237,0.138849,10.189198
"140",0.691391,0.111105,-0.296519
"141",0.697383,0.129473,-3.937249
"142",0.611491,0.114519,-2.069495
"143",0.732447,0.122492,-0.656782
"144",0.605809,0.104351,2.519216
"145",0.603574,0.129833,2.209374
"146",0.913669,0.120391,-3.828271
"147",0.71584,0.104106,-2.104927
"148",0.734684,0.124898,-0.484274
"149",0.659706,0.11384,7.308104
"150",0.682109,0.124575,-3.553702
"151",0.724316,0.097893,0.494389
"152",0.571378,0.097373,0.703486
"153",0.583092,0.123748,-5.724689
"154",0.601684,0.125728,-1.974017
"155",0.691481,0.11427,-1.348229
"156",0.628727,0.124948,10.555811
"157",0.587353,0.122093,5.094358
"158",0.689296,0.12784,-1.718289
"159",0.556532,0.113658,-8.588436
"160",0.574194,0.097593,-1.005896
"161",0.611114,0.119952,4.326267
"162",0.657252,0.112579,6.344373
"163",0.827133,0.123772,-2.44556
"164",0.720024,0.115681,-0.625755
"165",0.618035,0.119079,2.962183
"166",0.635576,0.105214,-5.752567
"167",0.628471,0.102786,-3.438657
"168",0.690916,0.109537,-2.860481
"169",0.703224,0.132469,-1.006321
"170",0.557711,0.096633,0.333282
"171",0.578844,0.107665,0.418868
"172",0.626208,0.104757,0.449466
"173",0.613342,0.108782,-1.003151
"174",0.743296,0.123579,-1.28754
"175",0.600556,0.10266,3.272948
"176",0.547483,0.089839,-1.931768
"177",0.531044,0.109567,3.402208
"178",0.727676,0.110367,1.284246
"179",0.751725,0.12215,-2.344293
"180",0.665211,0.13524,6.957481
"181",0.763472,0.116946,5.600922
"182",0.734283,0.134187,-1.124501
"183",0.784617,0.124098,0.76799
"184",0.571791,0.134778,-8.67087
"185",0.656228,0.100102,0.185997
"186",0.624395,0.114256,8.963242
"187",0.663579,0.133051,6.579618
"188",0.638806,0.095447,-2.957065
"189",0.660481,0.120455,3.959358
"190",0.684007,0.154719,14.121416
"191",0.668699,0.157421,-14.157753
"192",0.689636,0.117191,-0.985155
"193",0.549646,0.141818,9.184582
"194",0.646512,0.138512,4.558142
"195",0.697134,0.088401,0.336106
"196",0.736074,0.105765,-2.744549
"197",0.596615,0.119711,-3.064178
"198",0.662278,0.130637,3.94404
"199",0.784311,0.110517,-5.338923
"200",0.637997,0.112671,-1.184567
"201",0.669222,0.119552,0.651654
"202",0.58449,0.128682,21.701019
"203",0.607403,0.139009,0.910243
"204",0.810403,0.139662,5.807564
"205",0.719127,0.157919,-18.255616
"206",0.659205,0.126223,2.941368
"207",0.713314,0.13811,0.040362
"208",0.643514,0.13818,5.051743
"209",0.615865,0.117109,-1.372832
"210",0.598215,0.134037,-8.79252
"211",0.815068,0.105984,-0.677829
"212",0.737187,0.108624,1.307942
"213",0.669672,0.129847,-2.70806
"214",0.765928,0.124469,-0.588586
"215",0.586381,0.145837,-6.703519
"216",0.709248,0.133778,-0.698109
"217",0.715976,0.128685,3.051886
"218",0.790896,0.123942,-0.698912
"219",0.634845,0.130866,-1.573628
"220",0.61811,0.130409,4.696578
"221",0.629536,0.114427,1.897181
"222",0.657277,0.121453,1.118419
"223",0.596262,0.110149,2.746224
"224",0.5507,0.124122,11.580496
"225",0.659512,0.110434,2.073685
"226",0.632393,0.100121,2.795675
"227",0.689937,0.114454,5.357519
"228",0.893711,0.112331,1.829091
"229",0.623983,0.141784,-3.600989
"230",0.664225,0.124079,0.827579
"231",0.712817,0.120014,3.955134
"232",0.596136,0.112225,5.200859
"233",0.585982,0.109386,3.075496
"234",0.856894,0.110885,-2.635575
"235",0.670745,0.12128,-0.463868
"236",0.747958,0.109963,5.321571
"237",0.764454,0.11888,-1.050601
"238",0.692155,0.099475,-0.777489
"239",0.652951,0.123855,1.158174
"240",0.792763,0.120647,-5.851299
"241",0.711339,0.145855,6.540572
"242",0.573442,0.11053,-9.265781
"243",0.615951,0.119251,5.291206
"244",0.453801,0.112502,1.970792
"245",0.59242,0.118002,0.854929
"246",0.626002,0.122573,-4.287826
"247",0.734842,0.107701,1.730271
"248",0.728786,0.110902,-2.267546
"249",0.756876,0.141006,0.837441
"250",0.807996,0.126479,-1.40909
"251",0.539075,0.126541,-21.122041
"252",0.682184,0.0999,3.381707
"253",0.622207,0.128655,4.497962
"254",0.608805,0.140611,-1.971964
"255",0.640261,0.122161,-10.756973
"256",0.624739,0.113131,0.176334
"257",0.822052,0.109372,3.041017
"258",0.598033,0.141818,8.040539
"259",0.594158,0.138195,8.816475
"260",0.679989,0.12826,-0.243506
"261",0.635269,0.120989,6.113024
"262",0.597779,0.12081,4.157707
"263",0.777592,0.107561,-0.388593
"264",0.731044,0.094765,1.275296
"265",0.791704,0.095597,3.07097
"266",0.651986,0.124538,0.109399
"267",0.764563,0.129589,-2.442643
"268",0.663692,0.096018,1.546421
"269",0.672892,0.125732,0.242361
"270",0.623017,0.11538,-2.603666
"271",0.704549,0.112279,-0.815686
"272",0.539828,0.115692,7.480988
