"","edge","mean","pattern"
"1",0.634035,0.169986,15.224545
"2",0.646537,0.133144,22.028
"3",0.554347,0.198272,41.378322
"4",0.618379,0.166056,1.781001
"5",0.622883,0.13833,3.739872
"6",0.746023,0.132481,4.866663
"7",0.609121,0.191892,-0.174775
"8",0.620371,0.243584,-4.293881
"9",0.837332,0.182069,-5.849401
"10",0.576467,0.179272,11.788703
"11",0.644071,0.153518,31.742775
"12",0.639568,0.140737,22.671522
"13",0.628615,0.183042,0.249877
"14",0.692179,0.175326,12.372587
"15",0.596821,0.166288,25.800952
"16",0.547291,0.19125,-3.920674
"17",0.58298,0.142173,27.896881
"18",0.559223,0.135488,32.70052
"19",0.661424,0.160592,4.226289
"20",0.624516,0.174891,10.156913
"21",0.615792,0.147167,31.65242
"22",0.900404,0.142865,6.108165
"23",0.642533,0.172415,22.1801
"24",0.630441,0.191041,-12.420967
"25",0.623394,0.232372,-13.853506
"26",0.544805,0.168079,14.910936
"27",0.913332,0.169548,6.100812
"28",0.639419,0.225744,-22.763062
"29",0.611554,0.141189,31.060414
"30",0.877432,0.151534,8.748086
"31",0.686587,0.191958,1.389305
"32",0.74825,0.147856,15.728393
"33",0.790512,0.137262,11.394051
"34",0.681899,0.126661,-1.289829
"35",0.663508,0.179356,-26.938611
"36",0.681123,0.136492,7.966219
"37",0.546392,0.165176,28.52684
"38",0.649255,0.145337,6.246257
"39",0.57299,0.12749,42.953179
"40",0.644626,0.150416,6.044511
"41",0.598603,0.15619,13.370047
"42",0.919317,0.130788,8.421425
"43",0.576966,0.132063,26.059183
"44",0.605907,0.157624,3.376376
"45",0.866609,0.123808,-6.484563
"46",0.715056,0.140641,14.554131
"47",0.767603,0.145491,12.351784
"48",0.627412,0.18306,15.522083
"49",0.541744,0.15982,40.420398
"50",0.665297,0.150837,-0.858018
"51",0.709767,0.128429,25.917452
"52",0.610293,0.177289,-31.91575
"53",0.744559,0.183583,48.616594
"54",0.749265,0.156536,14.624527
"55",0.763561,0.178213,17.205126
"56",0.688406,0.130848,25.635978
"57",0.640834,0.139113,21.058532
"58",0.64057,0.176364,-0.226348
"59",0.661164,0.143387,14.656658
"60",0.682412,0.153036,11.205775
"61",0.68963,0.134931,14.084976
"62",0.776164,0.134255,12.784219
"63",0.71206,0.172635,14.448142
"64",0.649058,0.158157,0.294091
"65",0.643023,0.169376,-9.527477
"66",0.671893,0.139962,18.457979
"67",0.596518,0.162703,39.085147
"68",0.944564,0.155299,20.745904
"69",0.762215,0.13844,31.898268
"70",0.605664,0.189992,4.593478
"71",0.732262,0.170299,16.203955
"72",0.951019,0.119454,23.131203
"73",0.654253,0.164259,26.268478
"74",0.61238,0.161011,-7.972193
"75",0.614947,0.164336,-6.233605
"76",0.688549,0.128593,24.708769
"77",0.781758,0.134196,15.773599
"78",0.907983,0.13386,9.40058
"79",0.787383,0.120104,27.593905
"80",0.653626,0.16182,5.864795
"81",0.776933,0.147599,-7.618287
"82",0.583786,0.159239,32.972839
"83",0.831323,0.150646,4.094337
"84",0.642612,0.13613,8.238724
"85",0.653823,0.145472,12.131621
"86",0.909548,0.16452,23.443729
"87",0.629857,0.160644,8.743549
"88",0.581589,0.152412,5.636788
