"","edge","mean","pattern"
"1",0.636264,0.156339,25.071647
"2",0.616375,0.165069,5.242053
"3",0.603078,0.148747,16.666074
"4",0.817092,0.153464,7.324422
"5",0.684505,0.156212,5.606484
"6",0.710087,0.137957,18.055098
"7",0.819768,0.1621,5.358141
"8",0.595473,0.154836,37.646354
"9",0.670863,0.175723,7.614201
"10",0.904377,0.140331,19.307461
"11",0.975989,0.151192,17.182702
"12",0.611056,0.165077,11.756232
"13",0.561625,0.152439,21.683018
"14",0.729025,0.156062,11.085531
"15",0.504949,0.186019,14.838254
"16",0.916623,0.149627,15.733417
"17",0.673393,0.152501,14.89569
"18",0.560685,0.151717,7.162241
"19",0.651423,0.153537,25.278886
"20",0.546747,0.17903,19.736376
"21",0.937354,0.1352,18.478998
"22",0.607076,0.173677,15.033845
"23",0.914881,0.130471,17.570746
"24",0.742539,0.149725,3.781276
"25",0.680172,0.153284,9.643224
"26",0.908252,0.147904,16.631333
"27",0.916613,0.136363,18.557332
"28",0.721269,0.183652,11.654829
"29",0.899372,0.141013,15.073094
"30",0.848338,0.15625,5.381685
"31",0.644305,0.161297,18.439011
"32",0.714158,0.164653,9.389688
"33",0.643383,0.156795,20.307054
"34",0.647563,0.177076,21.616753
"35",0.646747,0.163978,3.76999
"36",0.795323,0.143301,22.566154
"37",0.711788,0.165963,11.06727
"38",0.727148,0.150763,14.747894
"39",0.750457,0.170575,2.922875
"40",0.725306,0.15292,7.441623
"41",0.673245,0.152862,18.201229
"42",0.630461,0.153383,16.28633
"43",0.910588,0.140244,18.820855
"44",0.955392,0.139284,10.17633
"45",0.618518,0.151376,12.596308
"46",0.778067,0.154642,11.983062
"47",0.908323,0.140838,14.329676
"48",0.961152,0.140267,2.172191
"49",0.805067,0.145831,19.2157
"50",0.80132,0.134491,24.42109
"51",0.963512,0.144999,14.278433
"52",0.786509,0.144968,12.652122
"53",0.616241,0.12647,27.07261
"54",0.801983,0.159994,14.016998
"55",0.762393,0.150643,5.967589
"56",0.630176,0.147778,10.114203
"57",0.597625,0.160864,8.071705
"58",0.635629,0.149936,6.523129
"59",0.889417,0.141561,17.387591
"60",0.973647,0.148253,11.741065
"61",0.735324,0.152461,3.960537
"62",0.832174,0.163504,11.63717
"63",0.824612,0.15397,20.474334
"64",0.896065,0.149349,14.89894
"65",0.553644,0.121989,21.27045
"66",0.616882,0.127527,12.267732
"67",0.625403,0.139652,19.754372
"68",0.750623,0.161708,10.394896
"69",0.7011,0.15225,19.269549
"70",0.855532,0.140801,16.462854
"71",0.943013,0.12838,24.056592
"72",0.944945,0.161676,5.630745
"73",0.964816,0.149738,16.582232
"74",0.729392,0.155213,22.062561
"75",0.673594,0.15488,4.864103
"76",0.557496,0.148963,19.765804
"77",0.639351,0.156155,14.541783
"78",0.881522,0.148559,16.47121
"79",0.678177,0.148574,5.639992
"80",0.967087,0.154451,8.960774
"81",0.868446,0.142206,13.823048
"82",0.947685,0.15053,-0.892588
"83",0.726968,0.152249,22.104403
"84",0.989204,0.152036,1.323341
"85",0.970135,0.144386,7.118713
"86",0.735116,0.134218,24.688695
"87",0.648934,0.146101,21.995021
"88",0.673122,0.157998,9.509322
"89",0.888934,0.153286,15.001105
"90",0.659537,0.164305,7.70858
"91",0.811191,0.155716,14.8734
"92",0.875146,0.147622,12.273759
"93",0.932064,0.142276,16.828324
"94",0.884363,0.146676,17.720683
"95",0.760759,0.141583,20.589709
"96",0.695816,0.148368,-2.223148
"97",0.872919,0.159971,10.879105
"98",0.706328,0.160236,14.634034
"99",0.925981,0.144009,14.682795
"100",0.833877,0.148989,7.581335
"101",0.59239,0.135929,20.562572
"102",0.713009,0.155102,-0.672151
"103",0.607297,0.153286,25.251357
"104",0.641189,0.16369,11.005124
"105",0.80994,0.152337,18.228024
"106",0.886079,0.15274,11.153199
